comprehension,attention,focus,retention,engagement_time,assessment_score
85,78,82,88,45,92
72,65,70,75,38,78
90,85,88,92,52,95
68,62,65,70,35,72
95,90,93,96,58,98
77,73,76,80,42,83
83,79,81,85,48,87
71,67,69,73,36,75
89,84,87,91,51,94
76,72,74,78,41,81
88,83,86,90,50,93
74,70,72,76,39,79
92,87,90,94,55,96
69,64,67,71,34,73
86,81,84,88,49,91
79,75,77,81,44,84
91,86,89,93,54,95
73,69,71,75,37,77
87,82,85,89,50,92
75,71,73,77,40,80
82,78,80,84,46,85
93,88,91,95,56,97
67,63,66,70,33,71
96,91,94,97,59,99
81,77,79,83,45,86
78,74,76,80,43,82
84,80,82,86,47,88
70,66,68,72,37,74
88,83,86,90,50,93
76,72,74,78,41,81
