comprehension,attention,focus,retention,engagement_time,assessment_score
88,48,71,65,62,56
78,63,96,75,96,82
64,40,57,97,47,54
92,83,85,98,54,73
57,47,47,51,83,48
70,63,83,50,87,72
88,50,50,97,96,68
68,90,52,61,75,58
72,56,71,54,53,51
60,47,53,86,61,56
60,74,81,81,76,57
73,74,77,58,115,62
85,72,95,90,52,84
89,98,86,84,95,89
73,44,88,68,56,61
52,81,68,97,31,62
71,78,59,65,119,67
51,97,98,52,46,77
73,80,76,69,62,69
93,67,76,73,38,73
79,46,68,82,72,63
87,48,85,73,77,69
51,47,96,60,68,61
70,51,93,98,71,71
82,73,93,57,55,59
61,72,96,85,79,78
71,87,56,87,54,64
93,94,83,89,53,90
74,62,46,69,42,60
98,63,47,84,89,70
76,76,93,97,36,77
91,74,81,74,86,74
77,83,93,84,65,73
65,79,61,74,74,65
64,61,93,78,49,70
96,66,46,67,94,64
93,74,46,95,37,65
52,40,72,67,45,50
86,74,98,51,43,74
56,76,67,84,105,74
70,86,81,65,116,74
58,53,76,90,44,64
88,42,77,85,95,66
67,40,45,82,61,59
53,44,63,53,116,56
74,65,46,82,92,60
63,94,97,63,115,66
99,53,88,70,80,66
58,78,70,97,54,64
75,66,76,69,87,73
51,48,50,57,92,58
69,54,76,56,91,59
77,54,99,52,51,62
96,65,48,66,87,67
56,81,99,82,87,72
93,99,55,97,115,86
57,52,61,61,78,52
96,90,82,71,81,83
84,71,68,71,71,67
63,78,49,95,99,71
66,88,96,79,44,71
85,91,78,87,83,75
99,71,50,87,89,82
89,43,66,94,37,70
53,69,55,57,82,46
51,76,92,76,89,65
55,62,60,76,34,61
91,78,77,83,97,71
53,84,53,70,35,61
78,54,50,79,76,65
67,82,60,82,84,64
75,68,73,77,69,67
93,75,47,96,81,62
83,52,64,82,45,72
59,71,80,54,42,57
85,46,63,97,59,70
63,98,70,68,48,69
80,90,47,53,46,68
97,61,63,84,92,70
64,67,64,98,48,66
57,41,76,66,87,60
63,81,51,93,84,71
72,84,96,77,119,84
89,96,85,79,119,80
70,92,77,78,91,70
65,45,84,95,52,71
94,67,83,55,38,57
67,67,62,84,41,70
96,83,84,90,30,76
73,83,45,86,87,67
75,59,55,73,30,54
74,69,72,78,63,66
94,50,69,98,77,79
90,97,94,95,118,92
78,94,67,80,30,72
64,67,75,84,45,65
94,64,74,82,90,67
50,78,86,70,93,62
74,72,79,81,92,70
56,40,51,72,98,56
